"Tm","Pos","Player","G","GS","MP"
"MIA","SF","Andre Iguodala",26,2,21.2
"UTA","SF","Joe Ingles",25,8,26.6
"NOP","SF","Brandon Ingram",28,28,34.8
"BRK","PG","Kyrie Irving",20,20,35.4
"DAL","SF","Wesley Iwundu",17,3,13.6
"DET","PG","Frank Jackson",7,0,5.6
"DET","SG","Josh Jackson",26,6,24.1
"OKC","SF","Justin Jackson",18,2,18
"LAC","SG","Reggie Jackson",27,14,20.8
"SAC","SF","Justin James",8,0,6.3
"LAL","PG","LeBron James",29,29,34.7
"SAC","SG","DaQuan Jeffries",3,1,13.7
"PHI","SG","Isaiah Joe",16,1,13.3
"PHO","PF","Cameron Johnson",27,9,25.4
"DAL","PF","James Johnson",23,0,18.4
"SAS","SF","Keldon Johnson",27,27,30.1
"TOR","PF","Stanley Johnson",25,1,14.7
"BRK","SG","Tyler Johnson",13,1,12.2
"DEN","C","Nikola Jokić",28,28,35.9
"PHO","C","Damian Jones",11,0,7.1
"POR","SF","Derrick Jones Jr.",24,23,27.1
"HOU","SG","Mason Jones",18,1,11.2
"SAS","PG","Tre Jones",9,0,3
"MEM","PG","Tyus Jones",24,8,23.5
"BRK","C","DeAndre Jordan",28,22,21.6
"SAC","PG","Cory Joseph",27,1,19.8
"LAC","PF","Mfiondu Kabengele",17,0,4.1
"PHO","C","Frank Kaminsky",20,6,15.8
"POR","C","Enes Kanter",28,16,25.1
"LAC","SG","Luke Kennard",29,7,22
"DAL","PF","Maxi Kleber",17,11,25.6
"ATL","PF","Nathan Knight",9,0,6
"NYK","SF","Kevin Knox",23,0,16.2
"MEM","SG","John Konchar",16,0,16.5
"PHI","SG","Furkan Korkmaz",18,1,19.5
"CHI","PF","Luke Kornet",6,0,7.2
"TOT","SF-PF","Rodions Kurucs",14,0,5.2
"BRK","PF","Rodions Kurucs",5,0,3.2
"HOU","SF","Rodions Kurucs",9,0,6.3
"LAL","SF","Kyle Kuzma",29,7,25
"IND","SG","Jeremy Lamb",16,8,25.1
"CHI","SG","Zach LaVine",27,27,35.6
"MIN","SF","Jake Layman",19,3,15.4
"IND","PG","Jalen Lecque",3,0,3
"GSW","SG","Damion Lee",29,0,19.3
"DET","PG","Saben Lee",8,0,8.8
"TOT","C","Alex Len",20,6,14.6
"TOR","C","Alex Len",7,2,10.9
"WAS","C","Alex Len",13,4,16.6
"LAC","SF","Kawhi Leonard",23,23,34.4
"MIA","C","Meyers Leonard",3,2,9.7
"BRK","SG","Caris LeVert",12,4,27.8
"NOP","PG","Kira Lewis Jr.",17,0,13.1
"POR","PG","Damian Lillard",27,27,35.9
"POR","PF","Nassir Little",13,2,10.8
"GSW","C","Kevon Looney",21,5,14.7
"MIL","C","Brook Lopez",28,28,27.1
"WAS","C","Robin Lopez",26,9,19.4
"CLE","PF","Kevin Love",2,2,23
"TOR","PG","Kyle Lowry",25,25,34.4
"BRK","SF","Timothé Luwawu-Cabarrot",30,5,19.7
"SAS","PF","Trey Lyles",14,2,11.8
"CLE","C","Thon Maker",8,0,9.5
"OKC","PG","Théo Maledon",23,8,23.4
"ORL","PG","Karim Mané",6,0,9.3
"LAC","SG","Terance Mann",27,3,15.1
"GSW","PG","Nico Mannion",6,0,6
"DAL","C","Boban Marjanović",15,0,7.2
"CHI","PF","Lauri Markkanen",14,14,30.4
"NOP","SF","Naji Marshall",3,0,2.7
"CHO","SF","Caleb Martin",23,1,15.8
"CHO","SF","Cody Martin",17,0,9.4
"IND","SF","Kelan Martin",11,0,3.9
"HOU","SF","Kenyon Martin Jr.",7,0,9.9
"ORL","G","Frank Mason III",4,1,19.8
"WAS","SG","Garrison Mathews",20,4,16.1
"PHI","SG","Dakota Mathias",8,2,15.4
"LAL","SG","Wesley Matthews",22,1,20.4
"PHI","SG","Tyrese Maxey",28,6,16.9
"ATL","SG","Skylar Mays",10,0,6.8
"POR","SG","CJ McCollum",13,13,33.8
"IND","PG","T.J. McConnell",26,1,24
"MIN","PF","Jaden McDaniels",23,1,18.7
"CHO","SF","Jalen McDaniels",10,0,10.8
"IND","PF","Doug McDermott",28,8,26.2
"MEM","SF","Sean McDermott",6,0,15.3
"CLE","C","JaVale McGee",20,1,15.7
"DET","SG","Rodney McGruder",8,0,8
"LAL","SF","Alfonzo McKinnie",14,0,3.1
"MIN","PG","Jordan McLaughlin",17,0,18.2
"HOU","SG","Ben McLemore",20,2,15.2
"NOP","PF","Nicolò Melli",13,0,10.5
"MEM","PG","De'Anthony Melton",12,0,21.5
"MIL","SG","Sam Merrill",9,0,6.1
"SAC","C","Chimezie Metu",11,0,6.5
"MIL","SF","Khris Middleton",28,28,33
"OKC","SF","Darius Miller",12,0,9.3
"SAS","PG","Patty Mills",27,0,25.4
"DEN","PF","Paul Millsap",26,26,23.9
"PHI","SG","Shake Milton",22,1,24.4
"UTA","SG","Donovan Mitchell",27,27,33.6
"CHI","SG","Adam Mokoka",7,0,6
"CHO","SG","Malik Monk",15,0,21.1
"PHO","SG","E'Twaun Moore",14,1,16.2
"MEM","PG","Ja Morant",16,16,30.3
"UTA","PF","Juwan Morgan",12,0,5.3
"LAC","PF","Marcus Morris",21,2,25
"LAL","PF","Markieff Morris",23,2,15.3
"DEN","PG","Monte Morris",27,3,26
"GSW","PG","Mychal Mulder",28,1,10.8
"SAS","PG","Dejounte Murray",27,27,30.4
