"Player","Pos","Age","Tm","G","GS","MP.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","MP.y","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"Aaron Gordon","PF",25,"ORL",19,19,29.1,4.8,11.2,0.427,1.6,4.4,0.369,3.2,6.8,0.465,0.5,2.6,4.2,0.613,1.7,5.5,7.2,4.2,0.7,0.8,2.8,2,13.8,552,14.9,0.528,0.394,0.376,6,20.4,12.9,22.5,1.2,2.6,17.6,23.3,-0.1,0.6,0.6,0.05,0.5,0.1,0.6,0.4
"Aaron Holiday","PG",24,"IND",29,6,19.9,2.8,7.6,0.37,1.1,3.2,0.333,1.7,4.3,0.397,0.441,0.8,1,0.759,0.2,1.1,1.3,1.8,0.5,0.1,0.8,1.7,7.4,576,7.1,0.464,0.425,0.132,1.2,6.2,3.7,12.6,1.2,0.6,9,19.2,-0.5,0.3,-0.1,-0.012,-4.1,-1.8,-5.9,-0.6
"Aaron Nesmith","SF",21,"BOS",13,0,14.7,1.2,3.6,0.34,0.9,2.9,0.316,0.3,0.7,0.444,0.468,0.4,0.5,0.714,0.5,1.8,2.3,0.5,0,0.3,0.7,1.8,3.8,191,4.4,0.489,0.809,0.149,4,13.8,8.8,4.8,0,1.9,15.2,13.2,-0.1,0.1,0,0.004,-4.6,-1.5,-6.1,-0.2
"Abdel Nader","SF",27,"PHO",12,0,14.3,2.6,5.2,0.5,0.8,2.1,0.4,1.8,3.1,0.568,0.581,1.2,1.5,0.778,0,2.4,2.4,0.9,0.4,0.1,0.7,1.1,7.2,172,14.8,0.615,0.403,0.29,0,18.3,9.3,9.5,1.4,0.5,10.3,20.3,0.2,0.2,0.4,0.112,-0.2,1,0.8,0.1
"Adam Mokoka","SG",22,"CHI",7,0,6,0.7,2,0.357,0.1,1.1,0.125,0.6,0.9,0.667,0.393,0,0,0,0.1,0.4,0.6,0.6,0.3,0.1,0.3,0.7,1.6,42,5.4,0.393,0.571,0,2.7,7.8,5.3,12.6,2.2,2.1,12.5,16.2,-0.1,0,0,-0.031,-5.8,-0.8,-6.6,0
"Al-Farouq Aminu","PF",30,"ORL",2,0,8,0.5,0.5,1,0.5,0.5,1,0,0,0,1.5,0,1,0,0.5,1.5,2,1,0,0,1,0,1.5,16,7.5,0.798,1,2,6.2,20.3,13,16.7,0,0,51.5,10.3,0,0,0,-0.034,-3.4,0.1,-3.3,0
"Al Horford","C",34,"OKC",19,19,28.2,5.9,13,0.453,2.2,5.5,0.39,3.7,7.5,0.5,0.536,0.7,0.9,0.778,0.8,6.1,6.9,3.6,0.9,0.8,1.3,1.7,14.7,536,17.6,0.547,0.425,0.073,3.1,22.1,12.7,21.2,1.6,2.6,8.6,22.5,0.4,0.8,1.2,0.106,1.8,1.4,3.2,0.7
"Alec Burks","SG",29,"NYK",18,3,25.5,3.6,9,0.395,2,4.9,0.409,1.6,4.1,0.378,0.506,1.9,2.4,0.814,0.5,4.1,4.6,2.1,0.8,0.3,1.1,1.7,11.1,459,13.5,0.55,0.543,0.265,2.1,16.6,9.5,12.5,1.6,1.1,10,19.3,0.4,0.7,1,0.107,0.3,0.2,0.5,0.3
"Aleksej Pokusevski","PF",19,"OKC",17,0,17.4,1.4,5.5,0.247,0.6,3.3,0.179,0.8,2.2,0.351,0.301,0,0,0,0.3,3.2,3.5,1.2,0.5,1.1,1.3,0.9,3.3,296,2.4,0.301,0.602,0,1.8,19.1,10.6,9.6,1.3,5.6,19.1,16.8,-1.2,0.4,-0.8,-0.127,-7.5,0.3,-7.2,-0.4
"Alex Caruso","PG",26,"LAL",22,0,18.7,2,4.4,0.464,1,2.3,0.44,1,2.1,0.489,0.577,0.5,0.5,0.833,0.5,1.9,2.4,2.3,1,0.2,1.1,1.6,5.5,412,11.5,0.596,0.515,0.124,3.1,11,7.2,16,2.6,0.8,19.6,13.4,0.3,0.8,1,0.122,-1.5,2.2,0.7,0.3
"Alex Len","C",27,"TOR",7,2,10.9,0.7,1.4,0.5,0.4,0.9,0.5,0.3,0.6,0.5,0.65,0.4,0.9,0.5,0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3,76,4.3,0.633,0.6,0.6,0,16.6,8,5.1,0.6,8,38.8,11.6,-0.1,0.1,0,-0.029,-6.8,1.2,-5.6,-0.1
"Alex Len","C",27,"TOT",20,6,14.6,2.4,3.8,0.627,0.3,1,0.316,2.1,2.8,0.732,0.667,1,1.7,0.588,0.8,2.8,3.5,1.1,0.4,1.1,1.2,1.9,6,292,15.5,0.667,0.253,0.453,5.2,20.7,12.7,10.7,1.3,6.9,20.4,16.1,0.3,0.4,0.6,0.101,-1.7,1.7,0,0.2
"Alex Len","C",27,"WAS",13,4,16.6,3.2,5,0.646,0.2,1,0.231,3,4,0.75,0.669,1.3,2.2,0.607,1.2,3.4,4.5,1.4,0.5,1.2,1.2,2.2,8,216,19.5,0.673,0.2,0.431,7,22.1,14.3,12.7,1.5,6.4,16.2,17.7,0.4,0.3,0.7,0.147,0.1,1.9,2,0.2
"Alfonzo McKinnie","SF",28,"LAL",14,0,3.1,0.7,1.1,0.625,0.2,0.4,0.6,0.5,0.8,0.636,0.719,0.1,0.3,0.5,0.4,0.4,0.9,0.1,0.1,0,0.1,0.3,1.8,44,22.7,0.704,0.313,0.25,15.8,14.7,15.3,3.5,1.1,0,5.3,18.5,0.2,0.1,0.2,0.254,4.6,-1.2,3.4,0.1
"Amir Coffey","SG",23,"LAC",19,0,8.1,1.1,2.1,0.525,0.6,1.1,0.524,0.5,1,0.526,0.663,0.2,0.5,0.333,0.2,0.6,0.8,0.4,0.2,0,0.4,0.6,2.9,154,10.1,0.637,0.525,0.225,2.3,8.5,5.5,7.1,1.3,0,15.4,14.9,0.1,0.1,0.2,0.065,-1.7,-1.1,-2.8,0
"Anžejs Pasečņiks","C",25,"WAS",1,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,2,0,6,-40.9,0,1,0,16.9,0,8.7,19.5,0,0,83.3,41.3,-0.1,0,-0.1,-1.128,-40.1,-7.1,-47.1,-0.1
"Andre Drummond","C",27,"CLE",25,25,28.9,7.2,15.2,0.474,0,0.3,0,7.2,14.9,0.484,0.474,3.1,5.2,0.597,4,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5,722,20.9,0.5,0.021,0.339,15,37.5,25.9,15.8,2.7,3.6,15.6,30.8,-0.6,1.3,0.7,0.047,-0.5,0.2,-0.3,0.3
"Andre Iguodala","SF",37,"MIA",26,2,21.2,1.6,4.3,0.369,1,3.3,0.318,0.5,1,0.538,0.491,0.2,0.4,0.455,0.5,3.1,3.6,2.3,1,0.5,1,1.5,4.4,552,8.9,0.492,0.766,0.099,2.8,15.6,9.6,15.4,2.4,2.2,18.9,11.5,-0.2,0.8,0.6,0.053,-2.5,2.1,-0.4,0.2
"Andrew Wiggins","PF",25,"GSW",29,29,32.2,6.7,14.4,0.468,1.9,5.2,0.373,4.8,9.2,0.521,0.535,2.3,3.4,0.67,1,3.7,4.8,2.1,0.7,1.3,1.8,2.4,17.7,934,14,0.556,0.36,0.24,3.4,11.9,7.7,10.1,1,3.6,10.3,23.3,0.1,1.1,1.2,0.064,-0.7,-0.8,-1.6,0.1
"Anfernee Simons","SG",21,"POR",25,0,17.9,3,7.4,0.413,2.2,5.2,0.42,0.8,2.1,0.396,0.563,0.8,0.9,0.826,0.2,2.1,2.3,1.2,0.2,0.2,0.8,1.7,9,447,12.7,0.582,0.712,0.125,1.4,13,6.9,10.2,0.7,1,9.8,20.6,0.5,0.1,0.6,0.065,0.7,-2.3,-1.6,0
"Anthony Davis","PF",27,"LAL",23,23,32.8,8.9,16.7,0.533,0.7,2.5,0.293,8.1,14.1,0.575,0.555,4,5.7,0.715,2,6.3,8.4,3,1.3,1.8,2,1.8,22.5,755,24.7,0.588,0.151,0.339,7.2,20.9,14.3,15.5,2,4.6,9.3,27.9,1.6,1.7,3.3,0.212,4.3,2.1,6.4,1.6
"Anthony Edwards","SG",19,"MIN",29,12,28.2,5.4,14.2,0.383,1.8,5.7,0.319,3.6,8.5,0.427,0.448,1.9,2.3,0.806,0.6,3.1,3.7,2.4,0.7,0.3,1.6,1.5,14.6,817,10.5,0.479,0.403,0.163,2.3,12.4,7,13.1,1.2,1,9.4,25.1,-0.8,0.4,-0.4,-0.022,-2.5,-2.6,-5.1,-0.6
"Anthony Gill","PF",28,"WAS",10,1,6.5,0.3,1,0.3,0.1,0.7,0.143,0.2,0.3,0.667,0.35,0.3,0.4,0.75,0.3,1.6,1.9,0.3,0.3,0.2,0.3,0.3,1,65,7.9,0.425,0.7,0.4,4.7,26.7,15.3,5.7,2.1,2.7,20.3,9.4,-0.1,0.1,0,0.019,-4.2,-0.1,-4.3,0
"Aron Baynes","C",34,"TOR",25,24,18.8,2.4,5.8,0.411,0.5,2.2,0.222,1.9,3.7,0.522,0.452,0.3,0.4,0.778,1.5,3.9,5.4,1,0.3,0.3,0.8,2.5,5.6,470,8.4,0.463,0.37,0.062,8.4,23.9,15.9,7.5,0.7,1.7,11.8,15.4,-0.1,0.4,0.3,0.031,-4.3,-1.4,-5.7,-0.4
"Ashton Hagans","PG",21,"MIN",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,4,-12.6,0,0,0,0,0,0,0,0,0,100,10.5,0,0,0,-0.352,-13.8,-7.9,-21.7,0
"Austin Rivers","SG",28,"NYK",21,2,21,2.8,6.4,0.43,1.3,3.7,0.364,1.4,2.8,0.517,0.533,0.5,0.7,0.714,0.2,2,2.2,2,0.6,0,1,1.5,7.3,442,9.7,0.545,0.57,0.104,1.2,9.8,5.6,14.1,1.4,0,13.5,16.3,0.1,0.5,0.6,0.06,-2.3,-0.7,-3,-0.1
"Avery Bradley","SG",30,"MIA",10,1,21.1,3.1,6.6,0.47,1.6,3.8,0.421,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5,211,10.4,0.607,0.576,0.136,1.1,8.1,4.8,10.3,1.6,0.5,11.4,16.7,0.1,0.2,0.3,0.071,-2.7,-0.6,-3.2,-0.1
"Bam Adebayo","C",23,"MIA",26,26,33.6,7.4,12.9,0.573,0.1,0.2,0.4,7.3,12.7,0.576,0.576,5.1,6,0.841,1.9,7.3,9.2,5.3,1,1,3,2.6,19.9,873,22.7,0.641,0.015,0.469,6.8,23.2,15.4,27.9,1.4,3.2,16.2,24.6,2.3,1.3,3.6,0.196,2.9,2,4.9,1.5
"Ben McLemore","SG",27,"HOU",20,2,15.2,2.2,5.8,0.374,1.4,4.2,0.337,0.8,1.6,0.469,0.496,0.7,0.9,0.722,0.4,1.8,2.2,1,0.6,0.1,1.1,1.3,6.4,303,8.6,0.517,0.722,0.157,2.4,12.7,7.5,9.3,1.9,0.3,14.6,20.2,-0.3,0.4,0.1,0.012,-3.1,-0.9,-4,-0.2
"Ben Simmons","PG",24,"PHI",25,25,33.4,5.8,10.4,0.562,0,0.2,0.167,5.8,10.2,0.571,0.563,3.5,5.3,0.667,1.6,6.7,8.3,8,1.7,0.8,3.4,3.2,15.2,835,19.9,0.599,0.023,0.508,5.4,21.2,13.6,35,2.4,2.1,20.9,20.3,1.5,1.3,2.8,0.163,1.6,2.6,4.2,1.3
"Bismack Biyombo","C",28,"CHO",26,16,22.5,2.7,4.6,0.58,0,0,0,2.7,4.5,0.585,0.58,0.8,1.8,0.447,2.2,3.6,5.8,1.3,0.2,1.2,0.9,2.3,6.1,585,12.6,0.569,0.008,0.395,10.2,17.4,13.8,8,0.5,5.5,14.1,11.8,0.6,0.6,1.2,0.099,-2.4,-0.5,-2.9,-0.1
"Blake Griffin","PF",31,"DET",20,20,31.3,4.1,11.1,0.365,2,6.2,0.315,2.1,4.9,0.429,0.453,2.2,3.1,0.71,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3,626,10,0.491,0.559,0.279,1.2,18.1,9.3,18.8,1.1,0.3,11.4,19.4,-0.1,0.5,0.4,0.027,-1.5,-1.1,-2.6,-0.1
"Boban Marjanović","C",32,"DAL",15,0,7.2,1.9,3.6,0.519,0,0.2,0,1.9,3.4,0.549,0.519,0.6,0.9,0.692,1.3,2,3.3,0.1,0,0,0.2,0.8,4.3,108,21.2,0.544,0.056,0.241,20.2,30.7,25.4,1.6,0,0,4.8,25.5,0.2,0.1,0.3,0.134,1,-5.2,-4.3,-0.1
"Bobby Portis","C",25,"MIL",28,1,21.8,5,9,0.556,1.1,2.2,0.484,3.9,6.8,0.579,0.615,0.7,1,0.679,2,5.3,7.3,1.1,0.9,0.4,0.8,2,11.8,610,20.9,0.622,0.246,0.111,9.8,25.2,17.7,7.2,1.9,1.6,7.4,19.6,1.5,0.9,2.4,0.189,2.6,-0.5,2.1,0.6
"Bogdan Bogdanović","SG",28,"ATL",9,2,23.7,3.3,8.7,0.385,2.3,6.4,0.362,1,2.2,0.45,0.519,0.9,1,0.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2,9.9,213,9.9,0.543,0.744,0.115,1,16,8.6,13.2,0.9,0.4,11.8,18.6,0.1,0.1,0.2,0.045,-0.8,-1.3,-2.1,0
"Bojan Bogdanović","SF",31,"UTA",29,29,30.7,5,12.1,0.416,2.6,6.6,0.387,2.5,5.5,0.45,0.521,2.6,3,0.864,0.5,3.5,4,2.1,0.4,0,1.5,1.5,15.2,891,12.3,0.567,0.544,0.251,1.7,11.5,6.8,9.9,0.7,0.1,10.1,20.9,1,0.9,2,0.105,-0.5,-1.1,-1.7,0.1
"Bol Bol","PF",21,"DEN",12,2,5.4,0.6,1.3,0.438,0.2,0.5,0.333,0.4,0.8,0.5,0.5,0.1,0.2,0.5,0,0.8,0.8,0.2,0.1,0.3,0.4,0.6,1.4,65,4.7,0.504,0.375,0.125,0,15.7,7.8,4,0.8,5.9,22.9,14.6,-0.1,0.1,-0.1,-0.041,-6.1,-1,-7.2,-0.1
"Brad Wanamaker","PG",31,"GSW",29,0,16,1.3,4,0.336,0.3,1.6,0.222,1,2.4,0.408,0.379,1.3,1.5,0.884,0.2,1.6,1.8,2.7,0.8,0.1,0.8,1.4,4.3,465,9.2,0.467,0.388,0.371,1.4,10.1,5.8,21.4,2.3,0.8,15.1,14.5,0,0.6,0.6,0.059,-4.4,0.8,-3.7,-0.2
"Bradley Beal","SG",27,"WAS",24,24,35.3,11.4,24,0.473,2.5,7.4,0.337,8.9,16.6,0.534,0.525,7.5,8.4,0.896,1.4,3.8,5.2,4.7,1.3,0.5,3.1,2.5,32.8,846,24.8,0.591,0.308,0.348,3.9,11.7,7.7,25,1.7,1.2,10.1,36.2,2,0.5,2.5,0.141,6.3,-1.4,4.9,1.5
"Brandon Clarke","PF",24,"MEM",20,13,27.2,5.6,11.1,0.5,0.6,1.8,0.306,5,9.3,0.538,0.525,1.3,2.1,0.634,1.6,4,5.6,1.8,1.2,0.8,0.7,1.7,13,543,16.6,0.539,0.162,0.185,6.3,16.5,11.3,9.8,2.1,2.5,5.5,19.9,0.6,0.6,1.2,0.107,-0.3,0,-0.3,0.2
"Brandon Goodwin","PG",25,"ATL",22,0,12.7,1.5,4.6,0.324,0.6,2.4,0.269,0.9,2.3,0.38,0.392,0.8,1.1,0.708,0.1,1.1,1.2,2,0.5,0,0.5,1,4.4,280,8.1,0.431,0.51,0.235,1.2,9.1,5.2,21.9,1.7,0,9.6,18.9,-0.1,0.2,0,0.006,-3.2,-0.1,-3.4,-0.1
"Brandon Ingram","SF",23,"NOP",28,28,34.8,8.2,17.5,0.466,2.5,6.3,0.4,5.7,11.3,0.503,0.538,4.7,5.4,0.874,0.6,4.8,5.4,4.8,0.6,0.9,2.5,1.8,23.6,974,20.4,0.592,0.356,0.308,1.9,15.2,8.5,21.6,0.9,2.8,11,27.4,2.3,0.5,2.8,0.137,4.3,-1.2,3.1,1.2
"Brian Bowen","SF",22,"IND",1,0,5,1,2,0.5,0,0,0,1,2,0.5,0.5,1,1,1,0,1,1,0,0,0,0,0,3,5,17.8,0.615,0,0.5,0,21.7,11,0,0,0,0,21.2,0,0,0,0.16,0.5,-2.4,-1.8,0
"Brodric Thomas","SG",24,"HOU",4,0,6,0.5,1.8,0.286,0.3,1.5,0.167,0.3,0.3,1,0.357,1.3,1.8,0.714,0.3,0.8,1,1,0.3,0.3,1,1.3,2.5,24,7.4,0.496,0.857,1,4.4,13.4,8.8,22.7,2,3.6,28.4,25,-0.1,0,0,-0.031,-6.9,-0.5,-7.3,0
"Brook Lopez","C",32,"MIL",28,28,27.1,3.9,8.5,0.46,1.6,4.6,0.359,2.3,3.9,0.578,0.557,1.3,1.6,0.841,1.5,3.6,5.1,0.6,0.5,1.3,0.8,1.9,10.8,760,13.4,0.587,0.54,0.186,6,13.6,9.9,2.8,0.8,4.3,7.9,15.4,1,0.8,1.8,0.112,0,-0.9,-0.9,0.2
"Bruce Brown","PG",24,"BRK",26,13,19.2,2.7,4.9,0.555,0.2,0.8,0.182,2.6,4.1,0.632,0.57,0.8,1.1,0.69,1.3,3.1,4.4,1,0.7,0.4,0.8,1.8,6.4,498,12.8,0.59,0.172,0.227,7.9,17.2,12.8,7.1,1.6,1.7,13.5,14.1,0.5,0.4,0.9,0.091,-2.1,-0.8,-2.8,-0.1
"Bruno Caboclo","PF",25,"HOU",6,0,6,1.3,2.8,0.471,0,0.8,0,1.3,2,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0,0.3,0.7,1,2.8,36,9.2,0.475,0.294,0.118,8.7,32.7,20.6,4.7,0,4.8,18.3,25.9,-0.1,0.1,0,-0.055,-8.5,-2.1,-10.6,-0.1
"Bruno Fernando","C",22,"ATL",15,0,8.8,0.6,1.5,0.409,0,0.1,0,0.6,1.3,0.45,0.409,0.6,1,0.6,0.8,2.7,3.5,0.6,0.1,0.1,0.8,1,1.8,132,7.4,0.472,0.091,0.682,9.9,32.3,21.2,9.1,0.7,1.3,29.6,13.1,-0.1,0.2,0,0.007,-4.7,-0.3,-5,-0.1
"Bryn Forbes","SG",27,"MIL",28,5,18.4,3.5,7.2,0.48,2,4.3,0.471,1.4,2.9,0.494,0.621,0.5,0.7,0.7,0.2,1,1.1,0.5,0.3,0,0.7,1.2,9.5,514,11.8,0.629,0.599,0.099,1.1,5.4,3.3,3.4,0.6,0,8.3,18.7,0.6,0.2,0.8,0.076,0,-2.7,-2.7,-0.1
"Buddy Hield","SG",28,"SAC",27,27,34.8,5.3,14.1,0.377,3.9,10.4,0.377,1.4,3.7,0.376,0.516,1.5,1.7,0.872,0.4,4.4,4.8,3,0.9,0.3,2,2.7,16.1,940,10.7,0.54,0.736,0.123,1.2,14.1,7.6,11.9,1.2,0.8,11.6,20.7,0.1,0.1,0.2,0.009,-0.7,-2,-2.8,-0.2
"Caleb Martin","SF",25,"CHO",23,1,15.8,2.2,5.2,0.42,0.7,2.2,0.3,1.5,3,0.507,0.483,0.6,1.1,0.56,0.8,2,2.8,1.3,0.9,0.3,0.7,1.1,5.6,363,11.9,0.496,0.42,0.21,5.5,13.4,9.4,11.3,2.7,1.9,11,17.1,0,0.4,0.4,0.058,-1.6,0,-1.6,0
"Cam Reddish","SF",21,"ATL",24,19,28.8,3.8,10.1,0.376,1.3,4.9,0.265,2.5,5.2,0.48,0.44,2.6,3.2,0.805,0.8,3.2,4,1.4,1.1,0.3,1.3,2.7,11.5,692,9.3,0.498,0.483,0.318,3,11.7,7.4,7.1,1.9,1,10.4,18.9,-0.2,0.6,0.4,0.028,-3,-0.4,-3.5,-0.3
"Cameron Johnson","PF",24,"PHO",27,9,25.4,3.8,8.6,0.438,2.2,5.9,0.369,1.6,2.7,0.589,0.564,1,1.1,0.871,0.6,3,3.6,1.5,0.6,0.3,0.8,1.3,10.7,686,13.2,0.588,0.687,0.133,2.8,12.8,7.9,8.3,1.2,1,7.8,17.5,0.8,0.7,1.5,0.105,1.1,-0.4,0.7,0.5
"Cameron Payne","PG",26,"PHO",16,0,17.2,2.6,5.6,0.461,0.9,2.4,0.395,1.6,3.2,0.51,0.545,0.6,0.6,1,0.1,1.8,1.9,3.6,0.6,0.2,1.2,2.1,6.6,275,13.5,0.57,0.427,0.101,0.8,11,6,30,1.6,1,17,18.3,0.3,0.3,0.6,0.111,-0.7,0.9,0.2,0.2
"Caris LeVert","SG",26,"BRK",12,4,27.8,7.3,16.7,0.435,1.8,5.3,0.349,5.4,11.4,0.474,0.49,2.2,2.8,0.765,0.8,3.5,4.3,6,1.1,0.5,2.2,1.7,18.5,334,19.1,0.516,0.315,0.17,3.6,13.3,8.7,33.6,1.8,1.5,10.8,31.2,0.3,0.2,0.6,0.08,1.3,-0.7,0.6,0.2
"Carmelo Anthony","PF",36,"POR",27,3,25.3,4.6,11.7,0.396,1.7,4.5,0.377,2.9,7.2,0.407,0.468,2.4,2.8,0.842,0.6,2.9,3.5,1.3,0.8,0.8,0.9,2.1,13.3,683,13.8,0.515,0.386,0.241,2.2,12.9,7.3,7.7,1.5,2.9,6.7,23.5,0.3,0.4,0.7,0.047,-1.2,-1.8,-3.1,-0.2
"Carsen Edwards","SG",22,"BOS",13,1,10.3,1.8,4.2,0.436,0.8,2.3,0.333,1.1,1.9,0.56,0.527,0.5,0.7,0.778,0.2,0.8,1,0.4,0.3,0.1,0.2,1.2,5,134,12.2,0.551,0.545,0.164,1.6,9.4,5.4,5.6,1.5,0.7,3.3,19.5,0.2,0.1,0.3,0.096,-2.8,-1.6,-4.3,-0.1
"Cassius Stanley","SG",21,"IND",8,0,2.9,0.3,0.9,0.286,0.1,0.3,0.5,0.1,0.6,0.2,0.357,0.5,0.6,0.8,0.3,0.1,0.4,0,0,0.3,0.1,0.9,1.1,23,6.9,0.489,0.286,0.714,9.7,4.7,7.2,0,0,7.5,9.8,19.2,0,0,0,0.042,-6.3,-1.6,-7.9,0
"Cassius Winston","PG",22,"WAS",6,0,7.3,0.7,1.7,0.4,0.5,1.2,0.429,0.2,0.5,0.333,0.55,0.3,0.3,1,0,0.7,0.7,1,0,0.2,0.2,0.7,2.2,44,9.8,0.597,0.7,0.2,0,9.9,4.8,17.9,0,2,8.4,11.2,0.1,0,0.1,0.086,-2.2,-1.8,-4,0
"Cedi Osman","SF",25,"CLE",29,13,26.4,4.1,10.9,0.381,2.1,6.1,0.341,2.1,4.8,0.432,0.476,1.1,1.4,0.786,0.7,2.7,3.3,2.6,0.9,0.1,1,2.1,11.5,766,11.2,0.499,0.559,0.133,2.8,11.5,7,14.8,1.6,0.4,8.3,20.4,0.2,0.4,0.6,0.035,-0.9,-1,-1.9,0
"Chandler Hutchison","SF",24,"CHI",7,0,9.1,0.7,2.6,0.278,0.1,0.4,0.333,0.6,2.1,0.267,0.306,0.3,0.3,1,0.1,2.7,2.9,0.6,0.1,0,0.7,1.3,1.9,64,0.5,0.344,0.167,0.111,1.8,32.4,17.4,7.8,0.7,0,20.9,15.8,-0.2,0.1,-0.1,-0.104,-9.4,-1.5,-10.9,-0.1
"Chasson Randle","G",27,"ORL",1,0,19,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,0,0,2,2,5,0,0,1,4,2,19,1.3,0.25,0.5,0,0,11.4,5.5,34.8,0,0,20,11.2,0,0,0,-0.052,-11.8,-1.6,-13.3,-0.1
"Chimezie Metu","C",23,"SAC",11,0,6.5,1.4,2.7,0.5,0.1,0.3,0.333,1.3,2.5,0.519,0.517,0.5,0.8,0.667,1,1.1,2.1,0.5,0.3,0.5,0.5,0.9,3.4,71,20.3,0.545,0.1,0.3,16.8,18.7,17.7,10.6,2,7.1,15,24,0.1,0.1,0.1,0.089,-0.7,-0.5,-1.3,0
"Chris Boucher","C",28,"TOR",28,0,23.4,4.8,9,0.528,1.6,3.6,0.441,3.1,5.4,0.587,0.617,2.5,3.3,0.75,2,4.8,6.8,1,0.5,2.1,0.7,2.7,13.6,654,23.4,0.65,0.405,0.365,9,23.5,16,7,1,9.2,6.1,20.3,2.1,1,3.1,0.226,3.5,0.3,3.8,1
"Chris Chiozza","PG",25,"BRK",12,0,9.3,1,3.4,0.293,0.4,1.5,0.278,0.6,1.9,0.304,0.354,0.8,0.9,0.818,0.3,0.7,0.9,2.3,0.3,0.3,0.7,0.7,3.2,111,10.7,0.414,0.439,0.268,3.2,7.6,5.6,31.7,1.7,2.2,14.9,21,0,0.1,0,0.014,-2.9,-1.5,-4.4,-0.1
"Chris Paul","PG",35,"PHO",26,26,32.4,6.5,13.4,0.489,1.5,4,0.369,5.1,9.4,0.539,0.543,2.7,2.7,0.972,0.6,4.1,4.7,8.2,1.2,0.3,2.3,2.7,17.2,843,20.4,0.589,0.296,0.204,2,13.8,8,38.9,1.9,0.7,13.9,23.4,2.2,1.1,3.2,0.183,2.7,1.2,3.9,1.3
"Chris Silva","PF",24,"MIA",6,0,8.8,1,1.5,0.667,0.2,0.2,1,0.8,1.3,0.625,0.722,1.7,2,0.833,1.2,1.8,3,1,0.2,0.3,1.3,2.3,3.8,53,16.2,0.805,0.111,1.333,15.7,22.1,19.1,16.7,0.9,3.9,35.9,18.7,0.1,0.1,0.2,0.172,-3.2,1.1,-2,0
"Christian Wood","C",25,"HOU",17,17,31.2,8.8,15.7,0.558,1.9,4.5,0.421,6.9,11.2,0.613,0.618,2.6,3.8,0.688,1.8,8.4,10.2,1.3,0.9,1.5,1.8,1.9,22,530,24.1,0.634,0.285,0.24,6.1,28.9,17.4,7.7,1.4,4.2,9.5,26.2,1,1,2,0.178,3.5,0.5,4,0.8
"Chuma Okeke","PF",22,"ORL",13,0,21.7,1.7,4.5,0.379,0.7,2.2,0.31,1,2.2,0.448,0.457,0.2,0.5,0.5,1.2,2.2,3.4,2.1,0.8,0.3,0.7,1,4.3,282,9.4,0.462,0.5,0.103,5.7,10.7,8.1,13.1,1.9,1.3,12.9,10.5,0,0.3,0.3,0.055,-2.6,0.2,-2.4,0
"CJ Elleby","SF",20,"POR",12,0,8,1.2,2.4,0.483,0.4,1.5,0.278,0.8,0.9,0.818,0.569,0.5,0.8,0.667,0.3,0.7,1,0.3,0.3,0.3,0.3,1.3,3.3,96,12.2,0.592,0.621,0.31,4.2,9.3,6.7,4.4,1.5,2.9,8.3,16,0.1,0,0.2,0.089,-2.4,-0.5,-3,0
"CJ McCollum","SG",29,"POR",13,13,33.8,9.5,20,0.473,4.8,11,0.441,4.6,9,0.513,0.594,2.9,3.5,0.844,0.5,3.4,3.9,5,1.3,0.3,1,2.2,26.7,440,26.4,0.62,0.55,0.173,1.6,11.1,6.2,25.8,1.9,0.8,4.4,28.5,1.9,0.2,2.1,0.23,7.7,-0.7,6.9,1
"Clint Capela","C",26,"ATL",25,25,29.3,6.3,10.9,0.579,0,0,0,6.3,10.9,0.579,0.579,1.6,3.1,0.532,4.6,9.4,14,1,0.8,2.2,1.4,2.3,14.3,732,23.1,0.582,0,0.282,17,34.4,25.8,5.4,1.3,6.4,10.2,19.9,1.4,1.3,2.7,0.179,2,0.4,2.4,0.8
"Coby White","PG",20,"CHI",27,27,33.5,5.6,13.8,0.403,2.4,6.8,0.35,3.2,7,0.455,0.489,1.9,2.2,0.867,0.3,4.4,4.7,5.4,0.4,0.1,2.4,2.4,15.4,904,10.9,0.522,0.492,0.161,1.1,14.4,7.9,22.8,0.5,0.3,14.2,21.8,0.1,0.5,0.6,0.034,-1.6,-2.3,-3.9,-0.4
