"Player","Pos","Age","Tm","G","GS","MP.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","MP.y","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"Ryan Arcidiacono","PG",26,"CHI",11,0,9.7,0.8,2.2,0.375,0.5,1.5,0.375,0.3,0.7,0.375,0.5,0.4,0.5,0.8,0.1,1.9,2,1.5,0.3,0,0.2,0.9,2.5,107,11.2,0.534,0.667,0.208,1.1,21.4,11.4,20.1,1.3,0,7.1,11.2,0.2,0.1,0.3,0.119,-2.5,0.9,-1.6,0
"Saben Lee","PG",21,"DET",8,0,8.8,0.6,1.8,0.357,0,0.1,0,0.6,1.6,0.385,0.357,1,1.3,0.8,0.1,0.3,0.4,1,0.5,0.1,0.6,1.1,2.3,70,7,0.489,0.071,0.714,1.5,3.3,2.4,16,2.8,1.3,21.4,14.5,0,0.1,0,0.012,-6.4,0.9,-5.5,-0.1
"Saddiq Bey","SF",21,"DET",26,9,20.3,2.9,7,0.418,1.9,4.7,0.413,1,2.3,0.426,0.555,1.5,1.8,0.826,0.4,3.2,3.7,1,0.5,0,0.7,1.3,9.2,529,13,0.593,0.665,0.253,2.2,18.6,10.1,7.4,1.3,0.2,8.6,18.1,0.6,0.4,1,0.092,0.6,-0.7,-0.1,0.3
"Sam Merrill","SG",24,"MIL",9,0,6.1,0.4,1.1,0.4,0.4,0.9,0.5,0,0.2,0,0.6,0.2,0.2,1,0.3,0.8,1.1,1.1,0.1,0,0.3,0.3,1.6,55,12.5,0.643,0.8,0.2,5.9,13.1,9.6,21,0.9,0,21.6,10.6,0.1,0,0.2,0.14,1.1,-0.8,0.3,0
"Sean McDermott","SF",24,"MEM",6,0,15.3,1.2,2.5,0.467,0.7,1.8,0.364,0.5,0.7,0.75,0.6,0.7,0.7,1,0.5,0.8,1.3,0.5,0.2,0.2,0.5,0.7,3.7,92,7.6,0.656,0.733,0.267,3.5,6.2,4.8,4,0.5,1,15.2,9.1,0.1,0,0.1,0.059,-2.5,-2.2,-4.7,-0.1
"Sekou Doumbouya","PF",20,"DET",24,1,13.1,1.5,4.3,0.353,0.4,1.6,0.256,1.1,2.6,0.413,0.402,0.7,1,0.739,0.6,1.8,2.4,0.6,0.4,0.1,0.7,1.5,4.1,314,6.1,0.441,0.382,0.225,5.1,16,10.4,6.6,1.6,0.6,12.5,17.7,-0.4,0.3,-0.1,-0.022,-5.6,-2,-7.5,-0.4
"Semi Ojeleye","PF",26,"BOS",27,6,19.6,2,4.7,0.414,1.3,3.3,0.378,0.7,1.4,0.5,0.547,0.7,0.9,0.72,0.6,2.5,3.1,0.9,0.3,0,0.4,1.2,5.9,530,9.2,0.568,0.703,0.195,3.5,14.7,8.9,5.8,0.7,0,7.9,12.2,0.5,0.4,0.9,0.08,-0.9,-1.1,-2,0
"Serge Ibaka","C",31,"LAC",29,29,24.2,4.8,9.2,0.515,1,2.7,0.377,3.8,6.6,0.571,0.569,1.2,1.5,0.818,1.9,4.8,6.7,1.7,0.2,1.2,1.3,1.9,11.8,701,18.2,0.593,0.287,0.164,9.1,21.5,15.5,10.6,0.5,4.6,11.7,20.5,1.2,0.9,2.1,0.143,1.1,-0.9,0.2,0.4
"Seth Curry","SG",30,"PHI",22,22,29,4.6,9.3,0.5,2.1,4.4,0.479,2.5,4.9,0.519,0.613,1.8,1.8,0.975,0.2,1.7,1.9,2.7,0.8,0.3,1.4,1.7,13.1,637,14.1,0.652,0.471,0.196,0.9,6.2,3.6,13.2,1.3,0.8,12.3,16.7,1.2,0.5,1.7,0.125,0.8,-1.2,-0.4,0.3
"Shai Gilgeous-Alexander","SG",22,"OKC",22,22,33.7,7.9,15.6,0.503,1.9,4.9,0.383,6,10.8,0.557,0.563,5,6.3,0.784,0.7,4.7,5.4,6.5,0.8,0.6,2.9,2,22.5,741,21.6,0.612,0.311,0.404,2.1,14.4,8.4,33,1.2,1.7,13.5,27.4,1.7,0.8,2.4,0.156,3.6,0,3.5,1
"Shake Milton","SG",24,"PHI",22,1,24.4,4.9,10.9,0.452,1,3.3,0.306,3.9,7.6,0.515,0.498,3.2,3.6,0.875,0.5,1.4,1.9,3,0.7,0.2,1.5,2.2,14,536,15.3,0.562,0.301,0.335,2.5,5.9,4.3,18.6,1.4,0.7,11,24.3,0.7,0.4,1.2,0.103,-0.7,-1.3,-2,0
"Shaquille Harrison","SG",27,"UTA",16,0,3.4,0.4,1.2,0.316,0,0.1,0,0.4,1.1,0.333,0.316,0.3,0.4,0.833,0.2,0.4,0.6,0.5,0.1,0,0.3,0.2,1.1,54,7,0.393,0.053,0.316,6.2,11.3,8.8,20,1.8,0,18.8,21.2,-0.1,0.1,0,-0.019,-6.4,-1.2,-7.6,-0.1
"Sindarius Thornwell","SG",26,"NOP",10,1,5.1,0.5,1.2,0.417,0.3,0.6,0.5,0.2,0.6,0.333,0.542,0,0.2,0,0.1,0.2,0.3,0.2,0.4,0,0.1,0.3,1.3,51,8.7,0.505,0.5,0.167,2.2,4.4,3.3,5,3.8,0,7.2,11.6,0,0,0,0.04,-3.8,1.6,-2.2,0
"Skylar Mays","SG",23,"ATL",10,0,6.8,1.2,2.7,0.444,0.5,1.2,0.417,0.7,1.5,0.467,0.537,0.9,1,0.9,0.3,0.5,0.8,0.7,0.2,0,0.1,0.3,3.8,68,19.3,0.605,0.444,0.37,4.8,7.8,6.3,16,1.4,0,3.1,20.3,0.2,0,0.3,0.19,4.3,-0.5,3.8,0.1
"Solomon Hill","PF",29,"ATL",28,1,19,1.5,4.3,0.358,1,3.2,0.322,0.5,1.1,0.467,0.479,0.3,0.4,0.8,0.4,1.9,2.3,0.9,0.6,0.2,0.5,1.6,4.4,532,6.4,0.494,0.75,0.083,2.3,10.8,6.6,6.1,1.6,1,10.8,11.2,-0.1,0.4,0.3,0.029,-2.9,0.1,-2.8,-0.1
"Spencer Dinwiddie","SG",27,"BRK",3,3,21.3,2,5.3,0.375,0.7,2.3,0.286,1.3,3,0.444,0.438,2,2,1,0,4.3,4.3,3,0.7,0.3,1.7,1.3,6.7,64,10.1,0.536,0.438,0.375,0,21.5,11.4,17.4,1.5,1.3,21.2,16,0,0.1,0.1,0.039,-3.4,2,-1.4,0
"Stanley Johnson","PF",24,"TOR",25,1,14.7,1,2.5,0.403,0.6,1.5,0.405,0.4,1,0.4,0.524,0.4,0.6,0.786,0.6,2,2.5,1.4,0.8,0.3,0.7,1.7,3,368,9.6,0.558,0.597,0.226,4.1,15.2,9.5,12.7,2.7,2.2,20.9,10,0.2,0.5,0.6,0.084,-2.5,2,-0.5,0.1
"Stephen Curry","PG",32,"GSW",29,29,34,10,20.3,0.492,5,11.8,0.425,5,8.6,0.582,0.614,5,5.3,0.935,0.4,4.9,5.3,6,1.2,0.1,3.2,1.9,30,987,25.6,0.661,0.578,0.261,1.4,14.8,8.2,31.4,1.7,0.2,12.4,32.2,3.1,1.2,4.3,0.21,7.5,0,7.6,2.4
"Sterling Brown","SG",25,"HOU",26,1,21.4,2.8,6.2,0.45,1.5,3.8,0.408,1.2,2.4,0.516,0.575,0.4,0.4,1,0.8,3.1,3.9,1.8,1,0.3,0.7,2,7.5,556,12.9,0.59,0.613,0.063,3.8,15.6,9.6,12,2.1,1.1,9.4,13.9,0.7,0.8,1.5,0.127,-1,1,0,0.3
"Steven Adams","C",27,"NOP",27,27,28.1,3.5,5.8,0.603,0,0,0,3.5,5.7,0.606,0.603,1.1,2.3,0.468,4.3,4.6,8.9,2.1,1,0.6,1.7,1.9,8,760,15.9,0.592,0.006,0.397,16.9,18,17.5,10.1,1.7,2,20.1,12.8,1.2,0.5,1.7,0.109,-0.1,-1,-1.1,0.2
"Sviatoslav Mykhailiuk","SF",23,"DET",27,0,15.4,2.1,5.6,0.38,1.4,4.3,0.322,0.7,1.3,0.571,0.503,0.8,0.9,0.875,0.3,1.6,1.9,1.2,0.6,0.2,0.7,0.9,6.4,417,11.6,0.536,0.767,0.16,1.8,12.1,6.7,12.2,2,1.1,10.1,18.5,0.1,0.4,0.5,0.056,-0.4,-0.4,-0.9,0.1
"T.J. McConnell","PG",28,"IND",26,1,24,2.7,5.3,0.504,0.2,0.6,0.375,2.5,4.7,0.52,0.525,0.2,0.5,0.333,0.7,2.7,3.3,6.6,1.7,0.4,1.7,1.6,5.8,623,15.2,0.52,0.115,0.086,3.2,12,7.7,36.3,3.5,1.4,23.8,13.2,0.6,0.9,1.5,0.117,-0.4,2,1.7,0.6
"T.J. Warren","SF",27,"IND",4,4,29.3,6.8,12.8,0.529,0,1.8,0,6.8,11,0.614,0.529,2,2.5,0.8,0.5,3,3.5,1.3,0.5,0,1,4,15.5,117,12,0.56,0.137,0.196,1.9,11.1,6.6,6.7,0.8,0,6.7,22,0.1,0.1,0.1,0.054,-3,-2.5,-5.5,-0.1
"Tacko Fall","C",25,"BOS",6,0,8.2,1.3,2,0.667,0,0,0,1.3,2,0.667,0.667,0.5,1.3,0.375,1.3,2.2,3.5,0,0,1.3,0.2,1.5,3.2,49,22.5,0.612,0,0.667,17.8,30.3,23.9,0,0,15.1,6.1,14.4,0.1,0.1,0.2,0.219,-0.1,1.6,1.4,0
"Taj Gibson","PF",35,"NYK",8,0,13.6,1.3,2.5,0.5,0.1,0.6,0.2,1.1,1.9,0.6,0.525,0.4,0.8,0.5,1.4,1.8,3.1,0.5,0.3,0.4,0.3,1.9,3,109,10.6,0.53,0.25,0.3,10.8,13.2,12,5.2,0.9,2.7,8.1,10,0.1,0.1,0.3,0.117,-3.1,0.2,-2.9,0
"Talen Horton-Tucker","SG",20,"LAL",25,0,16.5,2.7,6,0.447,0.5,1.7,0.279,2.2,4.3,0.514,0.487,0.9,1.1,0.821,0.4,2,2.4,1.8,0.8,0.5,1.2,1.9,6.8,413,11.7,0.521,0.287,0.187,2.5,13.4,8.1,15.1,2.5,2.5,16,20.3,-0.2,0.8,0.7,0.076,-3.2,1.7,-1.6,0.1
"Taurean Prince","PF",26,"BRK",12,4,18.2,2.5,6.2,0.405,1.1,3.1,0.351,1.4,3.1,0.459,0.493,2,2.3,0.889,0.2,2.7,2.8,0.6,0.7,0.7,0.9,1.8,8.1,218,11.7,0.565,0.5,0.365,1.1,15.5,8.8,4.2,1.7,3,11.4,19.2,0,0.2,0.2,0.054,-2.7,-0.2,-2.9,0
"Taurean Prince","PF",26,"CLE",15,6,24.9,3.1,8,0.383,1.7,3.9,0.431,1.4,4.1,0.339,0.488,1.4,1.7,0.808,0.7,3.6,4.3,2.6,0.7,0.7,1.3,1.9,9.2,374,11.7,0.525,0.483,0.217,2.9,16.6,9.5,15.2,1.4,2.7,13.2,17.4,0.1,0.3,0.4,0.052,-0.6,-0.5,-1.1,0.1
"Taurean Prince","PF",26,"TOT",27,10,21.9,2.8,7.2,0.392,1.4,3.5,0.4,1.4,3.7,0.384,0.49,1.7,2,0.849,0.4,3.2,3.6,1.7,0.7,0.7,1.1,1.9,8.7,592,11.7,0.541,0.49,0.273,2.2,16.2,9.2,11.1,1.6,2.8,12.5,18.1,0.1,0.5,0.6,0.053,-1.4,-0.4,-1.8,0
"Terance Mann","SG",24,"LAC",27,3,15.1,1.6,3.5,0.457,0.2,0.9,0.25,1.4,2.6,0.529,0.489,0.9,1.2,0.75,0.9,2.4,3.3,1.1,0.5,0.2,0.7,1.5,4.3,407,11.2,0.537,0.255,0.34,7.1,17.4,12.4,10,1.6,1.1,14.3,13.7,0.3,0.5,0.8,0.094,-2.5,-0.1,-2.6,-0.1
"Terence Davis","SG",23,"TOR",22,2,13.8,2.5,5.8,0.438,1.3,3.3,0.384,1.3,2.5,0.509,0.547,0.4,0.5,0.9,0.3,1.4,1.6,0.9,0.5,0.1,0.9,1.7,6.8,304,11.2,0.563,0.57,0.078,2.1,11.3,6.5,10,1.9,1,12.5,21.2,0,0.3,0.3,0.041,-2,-1.3,-3.3,-0.1
"Terrance Ferguson","SG",22,"PHI",7,0,3.4,0,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0,0,0.1,0.4,0,24,-5.9,0,1,0,0,4.4,2.3,9.7,0,0,25,7,-0.1,0,-0.1,-0.133,-10.3,-3,-13.3,-0.1
"Terrence Ross","SG",29,"ORL",28,1,28.8,5.5,13.3,0.414,2,5.7,0.346,3.5,7.6,0.465,0.488,2.4,2.6,0.892,0.3,2.9,3.2,2.1,1,0.5,1.8,2,15.3,806,12.6,0.53,0.427,0.199,1,11,5.8,12,1.6,1.7,11.2,24.1,-0.1,0.8,0.6,0.037,-1.4,-1,-2.4,-0.1
"Terry Rozier","SG",26,"CHO",26,26,33.3,7.5,15.2,0.49,3.4,7.7,0.445,4,7.5,0.536,0.602,2.2,2.8,0.795,0.6,3.5,4.1,3,1.3,0.5,1.7,2,20.6,867,18.3,0.625,0.505,0.184,1.8,11.4,6.5,14.6,1.8,1.4,9.5,23.2,1.6,0.8,2.4,0.133,3.2,-0.6,2.6,1
"Théo Maledon","PG",19,"OKC",23,8,23.4,2.8,7,0.4,1.5,3.9,0.378,1.3,3,0.429,0.506,0.7,1,0.708,0.2,2.5,2.7,2.8,1,0,1.8,2.2,7.8,538,8.2,0.525,0.563,0.15,1,10.9,6,17.3,2,0.2,19.4,17,-0.4,0.6,0.1,0.011,-4.7,-0.5,-5.1,-0.4
"Thaddeus Young","PF",32,"CHI",23,0,25.7,5.1,8.7,0.587,0.2,0.9,0.238,4.9,7.8,0.628,0.6,0.7,1.5,0.5,2.4,3.4,5.8,4.4,1.4,0.5,2,2.9,11.2,592,18.5,0.597,0.104,0.169,10.7,14.4,12.6,25.2,2.5,1.7,17.9,18.9,1.1,0.7,1.8,0.145,0.8,1.3,2.1,0.6
"Thanasis Antetokounmpo","SF",28,"MIL",18,0,8.3,0.9,1.4,0.654,0.1,0.4,0.286,0.8,1.1,0.789,0.692,0.2,0.4,0.571,0.7,1,1.7,0.8,0.3,0.2,0.8,1.4,2.2,149,10.3,0.688,0.269,0.269,9.5,12.5,11,12.2,1.6,1.8,34,12.4,0.1,0.2,0.2,0.079,-3.3,0.1,-3.2,0
"Theo Pinson","SG",25,"NYK",9,0,2.3,0.1,0.8,0.143,0,0.7,0,0.1,0.1,1,0.143,0,0,0,0,0.1,0.1,0,0,0,0,0.3,0.2,21,-9.7,0.143,0.857,0,0,4.9,2.5,0,0,0,0,14.7,-0.1,0,-0.1,-0.223,-13.7,-3.7,-17.4,-0.1
"Thomas Bryant","C",23,"WAS",10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5,7,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3,271,18.8,0.704,0.231,0.264,6.7,17.2,11.8,8.7,0.7,2.6,9.8,17.2,0.7,0.2,0.9,0.157,2.1,-1.7,0.4,0.2
"Thon Maker","C",23,"CLE",8,0,9.5,1.3,2.3,0.556,0,0.3,0,1.3,2,0.625,0.556,1.3,1.4,0.909,1,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8,76,18.9,0.657,0.111,0.611,11.3,15.1,13.1,7.8,1.3,4.8,11.6,14.6,0.2,0.1,0.3,0.173,0.3,1.2,1.5,0.1
"Tim Frazier","PG",30,"MEM",3,0,11,0.7,2.7,0.25,0,0.7,0,0.7,2,0.333,0.25,0,0,0,0,1.3,1.3,2.3,0.3,0,1,1.3,1.3,33,0.3,0.25,0.25,0,0,13.7,6.7,25.8,1.5,0,27.3,14.2,-0.1,0,-0.1,-0.12,-10.9,-2.6,-13.6,-0.1
"Tim Hardaway Jr.","SG",28,"DAL",27,17,30.6,5.9,13.3,0.439,3.1,7.8,0.393,2.8,5.5,0.503,0.554,1.9,2.4,0.785,0.2,3,3.2,1.6,0.7,0.1,0.9,1.6,16.7,825,14.2,0.579,0.586,0.181,0.8,10.7,5.7,8,1.1,0.5,6,22,0.9,0.3,1.2,0.067,1.1,-2,-0.9,0.2
"Timothé Luwawu-Cabarrot","SF",25,"BRK",30,5,19.7,2.6,6.4,0.404,1.5,4.1,0.366,1.1,2.3,0.471,0.521,0.6,0.8,0.75,0.6,1.8,2.4,1.3,0.6,0.2,0.7,1.6,7.3,590,9.8,0.538,0.637,0.124,3.4,9.9,6.8,8.4,1.5,0.7,9.8,16.5,0.2,0.3,0.5,0.042,-1.7,-1.6,-3.3,-0.2
"Tobias Harris","PF",28,"PHI",26,26,34.5,8,15.4,0.518,1.8,4.2,0.426,6.2,11.2,0.551,0.575,3.1,3.5,0.9,1.3,6.5,7.7,3.1,0.8,0.8,2,2.1,20.8,896,19.7,0.615,0.27,0.225,4.2,19.9,12.3,14.3,1.1,2.2,10.8,23.2,1.9,1.1,3,0.16,2.9,-0.1,2.8,1.1
